T,TM,Tm,SLP,H,VV,V,VM
22.6,27.4,19.8,-,79,6.9,7.8,9.4
22.7,27.4,20.4,-,80,6.9,7.2,9.4
22.5,27.2,20,-,84,6.9,5.6,9.4
23.1,26.8,19.7,-,79,7.7,6.7,9.4
,,,,,,,
,,,,,,,
,,,,,,,
23.3,28.7,20.3,-,77,6.9,6.3,9.4
23.2,28.9,19.8,-,71,6.3,9.1,11.1
24,29.9,19.1,-,69,6.9,7.8,11.1
,,,,,,,
,,,,,,,
,,,,,,,
24.3,30.3,20.5,-,67,8.5,5.2,7.6
23.4,29.9,20.6,-,74,6.9,5,9.4
23.9,29.4,21,-,73,6.3,7,14.8
,,,,,,,
,,,,,,,
,,,,,,,
23.4,27.8,20.6,-,79,6.9,5.9,9.4
23.7,27.8,20.1,-,74,7.4,5.9,7.6
24.2,28.3,20,-,72,6.6,2.8,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.9,31.1,20.1,-,78,6.9,1.3,3.5
24.2,31.1,19.9,-,81,6.9,1.9,5.4
24.8,30,20,-,72,9.2,3.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24.7,29.9,20.7,-,69,7.7,2.2,3.5
25.4,30.7,19.8,-,64,6.9,2.2,3.5
25.3,30.7,20.8,-,76,7.4,0.6,3.5
,,,,,,,
,,,,,,,
,,,,,,,
23.6,30.4,19.6,-,79,6.9,2.8,5.4
22.6,30.4,19.1,-,84,6.9,1.9,3.5
23.6,29.9,19.3,-,83,6.8,1.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.4,30,20.8,-,67,9.2,5,9.4
25.4,30.3,21.2,-,66,8.2,2.6,5.4
24,30.3,21.1,-,75,9.2,3.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
21.6,24.3,19.8,-,86,5.5,3.1,3.5
22,25.4,20.2,-,82,6.3,3.1,5.4
22.7,26.8,20.4,-,76,9.2,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22,27.5,20.4,-,89,5.5,3.1,3.5
