T,TM,Tm,SLP,H,VV,V,VM,date,PM2.5
26.6,33.0,22.0,-,62.0,6.9,6.3,7.6,2013-05-26,110.41666666666669
25.5,33.0,20.6,-,66.0,6.9,6.3,7.6,2013-05-27,95.83333333333331
,,,,,,,,2013-05-28,93.5
,,,,,,,,2013-05-29,97.625
,,,,,,,,2013-05-30,76.95833333333333
23.7,31.3,20.8,-,81.0,5.8,2.8,5.4,2013-05-31,72.25
21.8,29.4,20.0,-,90.0,5.5,6.1,7.6,2013-06-01,38.66666666666666
22.3,27.6,20.0,-,86.0,5.5,6.1,9.4,2013-06-02,45.375
22.3,27.6,19.2,-,85.0,5.5,6.3,7.6,2013-06-03,65.16666666666667
,,,,,,,,2013-06-04,67.08333333333333
,,,,,,,,2013-06-05,80.04166666666667
,,,,,,,,2013-06-06,74.16666666666667
23.8,29.9,21.0,-,80.0,6.9,8.7,11.1,2013-06-07,66.08333333333333
23.0,28.8,20.1,-,77.0,6.3,8.1,11.1,2013-06-08,77.66666666666667
23.8,28.4,20.1,-,70.0,6.9,12.4,18.3,2013-06-09,70.25
,,,,,,,,2013-06-10,75.125
,,,,,,,,2013-06-11,37.16666666666666
,,,,,,,,2013-06-12,57.375
23.7,28.3,20.0,-,69.0,6.9,11.3,14.8,2013-06-13,56.29166666666666
23.7,28.3,20.5,-,70.0,6.3,9.8,16.5,2013-06-14,77.0
23.4,28.6,20.0,-,74.0,6.9,9.6,11.1,2013-06-15,32.958333333333336
,,,,,,,,2013-06-16,40.833333333333336
,,,,,,,,2013-06-17,42.54166666666666
,,,,,,,,2013-06-18,93.08333333333331
24.3,29.2,20.2,-,71.0,7.4,8.5,11.1,2013-06-19,80.625
23.6,30.2,20.3,-,74.0,6.9,7.2,9.4,2013-06-20,90.70833333333331
23.4,30.2,20.0,-,78.0,6.9,5.0,5.4,2013-06-21,97.29166666666669
,,,,,,,,2013-06-22,79.83333333333333
,,,,,,,,2013-06-23,87.75
,,,,,,,,2013-06-24,63.5
23.4,28.4,20.6,-,77.0,6.9,8.9,18.3,2013-06-25,50.708333333333336
22.4,27.8,20.4,-,87.0,6.9,5.2,5.4,2013-06-26,40.375
23.5,28.5,20.6,-,75.0,6.9,5.7,7.6,2013-06-27,49.41666666666666
,,,,,,,,2013-06-28,43.66666666666666
,,,,,,,,2013-06-29,52.16666666666666
,,,,,,,,2013-06-30,49.583333333333336
23.7,29.2,19.4,-,70.0,6.9,8.5,14.8,2013-07-01,61.875
22.6,29.2,19.8,-,79.0,5.5,6.9,11.1,2013-07-02,0.0
22.2,28.1,19.9,-,83.0,6.9,6.7,11.1,2013-07-03,29.666666666666668
,,,,,,,,2013-07-04,47.75
,,,,,,,,2013-07-05,37.708333333333336
,,,,,,,,2013-07-06,33.083333333333336
23.3,29.6,20.6,-,76.0,6.3,5.0,9.4,2013-07-07,49.125
23.8,28.7,20.5,-,73.0,6.9,5.7,9.4,2013-07-08,43.66666666666666
22.6,28.8,20.4,-,82.0,6.9,5.6,7.6,2013-07-09,29.83333333333333
,,,,,,,,2013-07-10,29.666666666666668
,,,,,,,,2013-07-11,56.708333333333336
,,,,,,,,2013-07-12,39.25
22.2,27.3,20.2,-,84.0,6.3,5.9,9.4,2013-07-13,35.208333333333336
23.1,27.4,19.8,-,79.0,6.3,5.0,7.6,2013-07-14,37.625
23.1,28.3,20.2,-,81.0,5.8,4.6,7.6,2013-07-15,41.458333333333336
,,,,,,,,2013-07-16,53.125
,,,,,,,,2013-07-17,54.875
,,,,,,,,2013-07-18,65.75
21.4,27.0,19.7,-,90.0,6.3,5.4,7.6,2013-07-19,38.583333333333336
21.3,27.0,19.7,-,93.0,6.3,5.4,7.6,2013-07-20,36.0
22.5,26.0,19.9,-,84.0,6.3,5.9,7.6,2013-07-21,70.58333333333333
,,,,,,,,2013-07-22,52.458333333333336
,,,,,,,,2013-07-23,36.583333333333336
,,,,,,,,2013-07-24,45.583333333333336
23.1,27.6,19.8,-,75.0,6.9,9.8,11.1,2013-07-25,33.166666666666664
22.6,27.6,20.0,-,77.0,6.9,8.1,11.1,2013-07-26,38.25
22.3,27.4,19.7,-,84.0,6.9,6.7,11.1,2013-07-27,26.58333333333333
,,,,,,,,2013-07-28,57.583333333333336
,,,,,,,,2013-07-29,30.70833333333333
,,,,,,,,2013-07-30,35.375
22.0,26.9,20.0,-,76.0,6.9,11.7,22.2,2013-07-31,15.416666666666666
22.4,26.2,20.0,-,79.0,6.6,9.8,14.8,2013-08-01,41.375
23.2,28.4,20.1,-,78.0,6.9,9.8,11.1,2013-08-02,25.541666666666668
22.7,28.4,20.2,-,80.0,6.3,6.7,11.1,2013-08-03,28.375
,,,,,,,,2013-08-04,40.333333333333336
,,,,,,,,2013-08-05,39.333333333333336
,,,,,,,,2013-08-06,41.833333333333336
23.4,28.0,20.1,-,76.0,6.9,6.3,7.6,2013-08-07,50.333333333333336
23.9,29.5,20.6,-,74.0,6.3,6.1,9.4,2013-08-08,35.375
23.7,29.5,20.9,-,76.0,6.9,6.3,9.4,2013-08-09,31.916666666666668
,,,,,,,,2013-08-10,36.79166666666666
,,,,,,,,2013-08-11,33.291666666666664
,,,,,,,,2013-08-12,35.5
22.9,27.8,20.4,-,83.0,6.3,4.4,5.4,2013-08-13,35.291666666666664
21.3,27.8,19.8,-,88.0,5.5,4.6,7.6,2013-08-14,26.83333333333333
20.7,25.1,19.0,-,89.0,6.9,4.4,5.4,2013-08-15,21.125
,,,,,,,,2013-08-16,18.0
,,,,,,,,2013-08-17,28.041666666666668
,,,,,,,,2013-08-18,34.875
22.6,26.8,19.6,-,81.0,6.3,8.5,14.8,2013-08-19,35.708333333333336
22.4,26.7,19.7,-,81.0,5.5,6.7,9.4,2013-08-20,43.583333333333336
22.7,28.4,20.1,-,77.0,6.9,6.7,7.6,2013-08-21,46.04166666666666
,,,,,,,,2013-08-22,28.75
,,,,,,,,2013-08-23,70.54166666666667
,,,,,,,,2013-08-24,58.54166666666666
22.4,26.7,19.5,-,82.0,6.3,5.2,7.6,2013-08-25,82.875
23.9,29.0,19.5,-,73.0,6.3,4.6,7.6,2013-08-26,64.91666666666667
24.2,29.7,19.9,-,69.0,6.9,3.9,5.4,2013-08-27,30.666666666666668
,,,,,,,,2013-08-28,31.75
,,,,,,,,2013-08-29,41.04166666666666
,,,,,,,,2013-08-30,45.25
24.6,30.1,21.9,-,77.0,6.9,1.5,5.4,2013-08-31,34.416666666666664
24.3,30.8,19.2,-,72.0,6.9,0.9,3.5,2013-09-01,33.166666666666664
23.9,31.4,19.0,-,76.0,6.9,1.5,5.4,2013-09-02,30.625
22.9,31.4,19.5,-,80.0,6.9,3.7,11.1,2013-09-03,30.33333333333333
,,,,,,,,2013-09-04,31.75
,,,,,,,,2013-09-05,34.208333333333336
,,,,,,,,2013-09-06,11.625
22.2,27.7,20.0,-,85.0,6.3,4.8,7.6,2013-09-07,0.0
21.8,25.4,19.5,-,89.0,5.5,2.8,5.4,2013-09-08,0.0
21.7,25.4,19.1,-,84.0,5.5,3.3,5.4,2013-09-09,0.0
,,,,,,,,2013-09-10,0.0
,,,,,,,,2013-09-11,0.0
,,,,,,,,2013-09-12,26.166666666666668
22.9,27.4,19.8,-,87.0,6.6,4.1,5.4,2013-09-13,76.875
23.2,27.5,20.5,-,87.0,6.9,3.0,5.4,2013-09-14,83.45833333333333
